rule,generator,bus,station,class,cum_cut_MWh,cum_avail_MWh,r,hours_cut
band4,40773-3,4071,Meentycat,P,4582.1186144854255,38769.69992,0.11818813722934345,498
band4,40971-1,4091,Mulreavy,P,25726.202278440054,216648.82652,0.11874609565939713,472
band4,40972-2,4091,Mulreavy,P,1333.3702400411005,11228.750155,0.11874609565939714,472
band4,40973-1,4091,Mulreavy,P,1129.443026858344,9511.411896,0.11874609565939714,472
band4,43771-1,4371,Glenree,N,9599.179462410682,80449.41716000001,0.11931944072782492,489
band4,43774-2,4371,Glenree,P,11707.5706657616,98119.5570005,0.11931944072782492,489
band4,49971-1,4991,Sorne Hill,P,8970.635750523683,88920.51966,0.10088375309573266,415
band4,49973-2,4991,Sorne Hill,P,2107.3874461547703,20889.264936,0.10088375309573269,415
band4,49976-3,4991,Sorne Hill,P,2619.9952033275513,25970.437487999996,0.10088375309573266,415
band4,49977-1,4991,Sorne Hill,P,170.8692523909273,1693.7241839999997,0.10088375309573269,415
band4,49979-3,4991,Sorne Hill,P,85.43462619546365,846.8620919999998,0.10088375309573269,415
band4,53673-3,5361,Trillick,P,4561.532368994096,39520.23096,0.11542271535839466,442
band4,53674-4,5361,Trillick,P,3254.97916901793,28200.5076636,0.11542271535839466,442
band4,67059-1,5241,Tawnaghmore,P,855.3748155988877,52882.883327999996,0.016174889903289198,71
band4,67059-2,5241,Tawnaghmore,P,481.1483337743744,29746.621872000003,0.016174889903289195,71
band4,68087-1,4981,Sligo,P,2440.9281662335197,20487.4008165,0.1191428911893822,399
band4,68101-1,4981,Sligo,P,1914.4534637125646,16068.549659999999,0.11914289118938222,399
band4,68223-1,1341,Binbane,P,56.0358251086531,1368.805905,0.04093774355002735,193
band4,68254-1,4371,Glenree,N,908.4937705495823,7613.9626955,0.11931944072782492,489
band4,68260-1,1571,Ardnagappary,N,3445.608398460974,48208.738472,0.07147269369975756,261
band4,68269-1,1341,Binbane,P,2241.433004346124,54752.2362,0.040937743550027356,193
band4,68269-2,1341,Binbane,N,403.45794078230233,9855.402516,0.04093774355002735,193
band4,68284-1,5361,Trillick,P,2248.1838104328044,19477.828116000004,0.11542271535839463,442
band4,68308-1,4091,Mulreavy,P,1694.164540287516,14267.117844,0.11874609565939714,472
band4,68312-1,4371,Glenree,N,4285.347974290484,35914.918374999994,0.11931944072782498,489
band4,69197-1,17010,Cathaleen's Fall,P,5745.409980684706,47951.9999,0.11981585737125233,402
band5,13471-1,1341,Binbane,P,37.52626689829492,1806.8237946000002,0.020769190117181622,109
band5,13473-4,1341,Binbane,P,570.7950655818393,27348.741981900002,0.02087098068202201,110
band5,13474-1,1341,Binbane,P,347.73696231706936,16425.67086,0.021170335463368065,111
band5,13475-6,1341,Binbane,P,446.38901198424855,20942.7303465,0.021314747628350672,112
band5,13476-3,1341,Binbane,P,697.5639659161741,32577.580539,0.021412393258642727,112
band5,13479-9,1341,Binbane,P,199.30399026176397,9307.880154,0.02141239325864272,112
band5,15771-1,1571,Ardnagappary,P,246.8660325604472,5314.771836,0.04644903679369298,171
band5,15772-1,1571,Ardnagappary,P,374.0394432734048,8052.6846,0.04644903679369298,171
band5,16373-3,1631,Corderry,P,49.689159079094026,18388.098960000003,0.002702245576727852,14
